DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI
2013.25,2294.70,876.90,2.00,91.88,0.49,,,,2.62,,,0.49,2.73,,
2013.41,2296.70,943.00,2.05,86.80,0.48,2.24,1.00,1.00,2.44,5144.85,2112.42,0.44,2.72,1.09,0.29
2013.56,2290.40,912.50,2.11,86.00,0.45,2.24,1.00,1.00,2.51,5135.74,2046.09,0.43,2.72,1.09,0.29
2013.71,2277.50,891.60,2.20,87.36,0.41,2.24,1.00,1.00,2.55,5107.98,1999.68,0.44,2.72,1.09,0.29
2013.86,2262.00,890.50,2.20,90.40,0.43,2.24,1.00,1.00,2.54,5067.02,1994.78,0.48,2.73,1.09,0.30
2014.01,2263.10,863.10,2.17,93.31,0.47,2.24,1.00,1.00,2.62,5063.48,1931.11,0.51,2.73,1.09,0.30
2014.17,2256.70,817.50,2.14,91.97,0.50,2.23,1.00,1.00,2.76,5041.47,1826.30,0.49,2.73,1.09,0.30
2014.32,2248.90,810.60,2.13,88.63,0.47,2.23,1.00,1.00,2.77,5023.60,1810.72,0.46,2.72,1.09,0.30
2014.47,2239.10,790.20,2.14,84.58,0.42,2.23,1.00,1.00,2.83,4998.30,1763.95,0.41,2.72,1.09,0.30
2014.62,2242.90,725.30,2.20,84.59,0.41,2.23,1.00,1.00,3.09,5002.27,1617.61,0.41,2.72,1.09,0.30
2014.78,2234.60,725.30,2.21,84.49,0.44,2.23,1.00,1.00,3.08,4979.55,1616.25,0.41,2.72,1.09,0.30
2014.93,2195.60,688.80,2.19,86.19,0.51,2.23,1.00,1.00,3.19,4892.71,1534.93,0.43,2.72,1.09,0.30
2015.08,2181.80,762.20,2.14,83.51,0.53,2.22,1.00,1.00,2.86,4849.98,1694.31,0.40,2.71,1.09,0.30
2015.23,2181.40,748.40,2.08,85.34,0.53,2.22,1.00,1.00,2.91,4833.94,1658.44,0.42,2.72,1.09,0.31
2015.39,2200.00,766.70,2.07,80.93,0.51,2.21,1.00,1.00,2.87,4870.80,1697.47,0.37,2.71,1.09,0.31
2015.54,2206.80,787.50,2.08,83.62,0.48,2.22,1.00,1.00,2.80,4890.14,1745.05,0.40,2.71,1.09,0.31
2015.69,2210.40,789.50,2.09,84.59,0.49,2.22,1.00,1.00,2.80,4905.89,1752.26,0.41,2.72,1.09,0.31
2015.84,2261.80,851.50,2.07,88.99,0.50,2.22,1.00,1.00,2.66,5022.18,1890.70,0.46,2.72,1.09,0.31
2016.00,2271.40,860.70,2.07,90.14,0.51,2.23,1.00,1.00,2.64,5058.95,1916.99,0.47,2.73,1.09,0.30
2016.15,2293.20,835.00,2.09,89.56,0.49,2.23,1.00,1.00,2.75,5124.12,1865.79,0.47,2.72,1.09,0.30
2016.30,2351.00,864.30,2.11,88.63,0.47,2.24,1.00,1.00,2.72,5256.95,1932.62,0.46,2.72,1.09,0.30
2016.45,2360.90,865.20,2.12,88.78,0.45,2.25,1.00,1.00,2.73,5301.93,1943.00,0.46,2.72,1.09,0.29
2016.61,2336.20,917.00,2.16,89.39,0.42,2.26,1.00,1.00,2.55,5270.73,2068.85,0.47,2.72,1.09,0.29
2016.76,2346.30,870.80,2.09,87.33,0.45,2.26,1.00,1.00,2.69,5293.86,1964.75,0.44,2.72,1.09,0.28
2016.91,2278.70,859.30,2.04,88.05,0.47,2.25,1.00,1.00,2.65,5132.34,1935.41,0.45,2.72,1.09,0.29
2017.06,2289.10,834.50,2.00,87.23,0.49,2.25,1.00,1.00,2.74,5149.72,1877.35,0.44,2.72,1.09,0.29
2017.22,2294.40,835.40,2.07,88.72,0.46,2.24,1.00,1.00,2.75,5135.91,1870.01,0.46,2.72,1.09,0.30
2017.37,2461.80,892.70,2.09,90.26,0.45,2.24,1.00,1.00,2.76,5517.73,2000.84,0.48,2.73,1.09,0.30
2017.52,2495.40,886.70,2.09,91.11,0.45,2.25,1.00,1.00,2.81,5614.65,1995.08,0.48,2.73,1.09,0.29
2017.67,2518.70,905.40,2.11,93.14,0.46,2.28,1.00,1.00,2.78,5754.97,2068.74,0.51,2.73,1.09,0.27
2017.82,2400.80,951.10,2.10,90.38,0.47,2.29,1.00,1.00,2.52,5500.81,2179.20,0.48,2.73,1.09,0.27
2017.98,2515.60,942.50,2.12,90.19,0.49,2.28,1.00,1.00,2.67,5747.08,2153.21,0.47,2.73,1.09,0.27
2018.13,2365.50,944.90,2.16,88.83,0.47,2.28,1.00,1.00,2.50,5383.16,2150.31,0.46,2.72,1.09,0.27
2018.28,2331.20,871.60,2.19,82.33,0.45,2.28,1.00,1.00,2.67,5314.32,1986.94,0.39,2.71,1.09,0.27
2018.43,2263.70,890.50,2.23,77.37,0.41,2.26,1.00,1.00,2.54,5107.47,2009.19,0.33,2.70,1.09,0.28
2018.59,2255.90,871.80,2.22,72.79,0.47,2.24,1.00,1.00,2.59,5061.39,1955.99,0.28,2.69,1.09,0.28
2018.74,2203.00,857.70,2.19,77.59,0.47,2.23,1.00,1.00,2.57,4920.64,1915.76,0.33,2.70,1.09,0.29
2018.89,2205.60,907.50,2.16,82.71,0.46,2.23,1.00,1.00,2.43,4910.96,2020.63,0.39,2.71,1.09,0.30
