DEPTH,
2153.92,3
2154.07,4
2154.22,4
2154.38,4
2154.53,4
2154.68,4
2154.83,4
2154.98,4
2155.14,4
2155.29,4
2155.44,4
2155.59,4
2155.75,4
2155.9,4
2156.05,4
2156.2,4
2156.36,4
2156.51,4
2156.66,4
2156.81,4
2156.97,4
2157.12,4
2157.27,4
2157.42,4
2157.58,4
2157.73,4
2157.88,4
2158.03,4
2158.19,4
2158.34,4
2158.49,4
2158.64,4
2158.79,4
2158.95,4
2159.1,4
2159.25,4
2159.4,4
2159.56,4
2159.71,4
2159.86,4
2160.01,4
2160.17,4
2160.32,4
2160.47,4
2160.62,4
2160.78,4
2160.93,4
2161.08,4
2161.23,4
2161.39,4
2161.54,4
2161.69,4
2161.84,4
2162,4
2162.15,4
2162.3,4
2162.45,4
2162.6,4
2162.76,4
2162.91,4
2163.06,4
2163.21,4
2163.37,4
2163.52,4
2163.67,4
2163.82,4
2163.98,4
2164.13,4
2164.28,4
2164.43,4
2164.59,4
2164.74,4
2164.89,4
2165.04,4
2165.2,4
2165.35,4
2165.5,4
2165.65,4
2165.81,4
2165.96,4
2166.11,4
2166.26,4
2166.41,4
2166.57,4
2166.72,4
2166.87,4
2167.02,4
2167.18,4
2167.33,4
2167.48,4
2167.63,4
2167.79,4
2167.94,4
2168.09,4
2168.24,4
2168.4,4
2168.55,4
2168.7,4
2168.85,4
2169.01,4
2169.16,4
2169.31,4
2169.46,4
2169.62,4
2169.77,4
2169.92,4
2170.07,4
2170.22,4
2170.38,4
2170.53,4
2170.68,4
2170.83,4
2170.99,4
2171.14,4
2171.29,4
2171.44,4
2171.6,4
2171.75,4
2171.9,4
2172.05,4
2172.21,4
2172.36,4
2172.51,4
2172.66,4
2172.82,4
2172.97,4
2173.12,4
2173.27,4
2173.43,4
2173.58,4
2173.73,4
2173.88,4
2174.03,4
2174.19,4
2174.34,4
2174.49,4
2174.64,4
2174.8,4
2174.95,4
2175.1,4
2175.25,4
2175.41,4
2175.56,4
2175.71,4
2175.86,4
2176.02,4
2176.17,4
2176.32,4
2176.47,4
2176.63,4
2176.78,4
2176.93,4
2177.08,4
2177.24,4
2177.39,4
2177.54,4
2177.69,4
2177.84,4
2178,4
2178.15,4
2178.3,4
2178.45,4
2178.61,4
2178.76,4
2178.91,4
2179.06,4
2179.22,4
2179.37,4
2179.52,4
2179.67,4
2179.83,4
2179.98,4
2180.13,4
2180.28,4
2180.44,4
2180.59,4
2180.74,4
2180.89,4
2181.05,4
2181.2,4
2181.35,4
2181.5,4
2181.65,4
2181.81,4
2181.96,4
2182.11,4
2182.26,4
2182.42,4
2182.57,4
2182.72,4
2182.87,4
2183.03,4
2183.18,4
2183.33,4
2183.48,4
2183.64,4
2183.79,4
2183.94,4
2184.09,4
2184.25,4
2184.4,4
2184.55,4
2184.7,4
2184.86,4
2185.01,4
2185.16,4
2185.31,4
2185.46,4
2185.62,4
2185.77,4
2185.92,4
2186.07,4
2186.23,4
2186.38,4
2186.53,4
2186.68,4
2186.84,4
2186.99,4
2187.14,4
2187.29,4
2187.45,4
2187.6,4
2187.75,4
2187.9,4
2188.06,4
2188.21,4
2188.36,4
2188.51,4
2188.67,4
2188.82,4
2188.97,4
2189.12,4
2189.27,4
2189.43,4
2189.58,4
2189.73,4
2189.88,4
2190.04,4
2190.19,4
2190.34,4
2190.49,4
2190.65,4
2190.8,4
2190.95,4
2191.1,4
2191.26,4
2191.41,4
2191.56,4
2191.71,4
2191.87,4
2192.02,4
2192.17,4
2192.32,4
2192.48,4
2192.63,4
2192.78,4
2192.93,4
2193.08,4
2193.24,4
2193.39,4
2193.54,4
2193.69,4
2193.85,4
2194,4
2194.15,4
2194.3,4
2194.46,4
2194.61,4
2194.76,4
2194.91,4
2195.07,4
2195.22,4
2195.37,4
2195.52,4
2195.68,4
2195.83,4
2195.98,4
2196.13,4
2196.29,4
2196.44,4
2196.59,4
2196.74,4
2196.89,4
2197.05,4
2197.2,4
2197.35,4
2197.5,4
2197.66,4
2197.81,4
2197.96,4
2198.11,4
2198.27,4
2198.42,4
2198.57,4
2198.72,4
2198.88,4
2199.03,4
2199.18,4
2199.33,4
2199.49,4
2199.64,4
2199.79,4
2199.94,4
2200.1,4
2200.25,4
2200.4,4
2200.55,4
2200.7,4
2200.86,4
2201.01,4
2201.16,4
2201.31,4
2201.47,4
2201.62,4
2201.77,4
2201.92,4
2202.08,4
2202.23,4
2202.38,4
2202.53,4
2202.69,4
2202.84,4
2202.99,4
2203.14,4
2203.3,4
2203.45,4
2203.6,4
2203.75,4
2203.91,4
2204.06,4
2204.21,4
2204.36,4
2204.51,4
2204.67,4
2204.82,4
2204.97,4
2205.12,4
2205.28,4
2205.43,4
2205.58,4
2205.73,4
2205.89,4
2206.04,4
2206.19,4
2206.34,4
2206.5,4
2206.65,4
2206.8,4
2206.95,4
2207.11,4
